id	origin	content
ffa605d3-a8f9-4d25-9842-76be420e3176	wikinews	Prom Discovery wylądował. Misja STS-121 zakończona
ff5a696f-b309-4bf9-ab44-42ee9cf3faeb	wikinews	Włocławek: Mężczyzna śmiertelnie potrącił kobietę
fd704b9b-67b9-4939-a265-ba9e003ee798	wikinews	XIV Warszawski Festiwal Nauki: zapowiedź
fd6d4dc1-e50d-438c-9cd4-8cf6ec583dd8	wikinews	Ukraina kredytem bankowym zapłaci za gaz
fcc5652c-3854-4a6e-a7b5-63ab77a7239d	wikinews	Giro 2007: w 16. etapie Garzelli wygrywa po raz drugi
fcbf0b08-d284-4e82-b299-324892e00636	wikinews	Grabownica Starzeńska: motorowerzysta wjechał bezpośrednio przed jadący pojazd
fba5e15d-9fe0-4517-bfe7-52e58adc3ea8	wikinews	Szkolenie dotyczące Otwarych Zasobów Edukacyjnych w Krakowie: zapowiedź
fb63bfe1-dd2b-4ce2-b468-73cfa09c83a5	wikinews	Zakończył się XXIII Festiwal Śpiewających Przedszkolaków
fae98d83-13c8-4bd5-8887-93165e609986	wikinews	Może powstać "polskie Hollywood"
fae7767f-f661-4ab9-b692-1ee19a1ac2f5	wyborcza	Jarmark Bożonarodzeniowy w Gdyni na pl. Grunwaldzkim ruszy 4 grudnia
f9d837d8-9da2-482a-b416-469ec64658ca	wyborcza	Od Cortésa do Bolivara. Jak powstało i upadło zamorskie imperium Hiszpanii
f940dd26-e559-4ac3-9383-40c156710fd1	wikinews	Wystawa fotografii POTY w Przystanku Książka w Warszawie: zapowiedź
f92ed287-50d5-4fdf-90de-65ced3268d7b	wikinews	Widzewska Galeria Ekslibrisu z Łodzi 13 października 2015 r. obchodziła 25-lecie działania
f8342090-0a12-4967-8767-5f160371ed24	wikinews	Projekt nowelizacji ustawy o promocji zatrudnienia i instytucjach rynku pracy
f5fbff49-7e76-4eb1-b69e-f79a164a35d9	wikinews	X.Org Foundation przyznano status 501(c)3
f53e65b6-d4db-434e-9cc3-3a8598f6c286	wikinews	Egzamin Gimnazjalny 2007
f31e197a-02c7-47f5-b12a-4d9162a96e6d	wikinews	Planetoida 555468 została oficjalnie nazwana „Tokarczuk”
f2f4b13a-c76f-41a5-b231-e8618a6b4927	wikinews	Interwencja MON ws. tajnych archiwów WSI
f2e23bff-4601-47b5-a986-eafef6292c2c	wikinews	Spłonął zabytkowy kościół św. Doroty w Łodzi
f2643702-afff-41aa-ab21-f9d1ea25a372	wyborcza	Wakacje 2021. Kolejowe wycieczki wokół Warszawy: dla rowerzystów, piechurów i do tramwaju konnego
f261317a-c93b-482f-8d54-a48e2dfc9977	wikinews	WYSIFTW: nowe narzędzie ułatwiające edytowanie stron wiki
f18e0023-41e8-4654-9e0d-884c7a8ed558	wikinews	Simon Moleke Nije aresztowany
f088ff5b-6448-4baa-bdfe-92c66dbb2f27	wyborcza	Chełmno. Najdłuższe w Europie mury obronne na razie nie będą naprawiane
ee8fd92a-1279-4a50-a442-ebd18e32fdb5	wikinews	Trzęsienie ziemi w Azji o sile 6.3 w Skali Richtera
eda181ac-282d-4a2d-b38a-69a89bc9db5b	wikinews	Lekarz Witold N. został zatrzymany
ed388606-64b7-40f9-b8dc-f46bcac3924d	wyborcza	USA. Epidemiolodzy: wariant delta zakaźliwy jak ospa wietrzna
ebfdb955-9191-4f40-9489-366264cf9482	wyborcza	Tour de Pologne. Joao Almeida najmocniejszy w Przemyślu, Michał Kwiatkowski czwarty na II etapie
eb9524e4-be9d-4f28-b076-4971e705dde7	wikinews	Sejm odrzucił projekt ustawy o zmianie ustawy o podatku dochodowym od osób fizycznych
eae522f4-e5b6-45d2-b73b-091b87d52b13	wikinews	Austria: 10-letnia dziewczynka przeżyła upadek z 3 piętra
eade9e5f-6200-4793-a3d7-f14c83818724	wyborcza	Śmiertelny wypadek motocyklisty na obwodnicy Trójmiasta w Gdańsku
ea86b36e-5bd7-4cb0-8dd3-e4e30fe97a38	wyborcza	Sąd: Kurator oświaty Barbara Nowak ma przeprosić Związek Nauczycielstwa Polskiego
ea0d17f6-b85a-43be-a9a1-8a44f0989329	wyborcza	WP: siedziba Prokuratury Krajowej kosztowała prawie 136 mln zł
e9dbc5a0-85da-4c3a-a49d-7d9394707f8d	wikinews	Zbigniew Ziobro przesłuchany w sprawie akcji ABW
e741cbe8-bb75-4916-98f4-de7a54f9706b	wyborcza	Koronawirus w niedzielę, 28 listopada. Oficjalnie 20,6 tys. nowych zakażeń, zmarło 51 osób
e6ace5f4-27fe-4bb9-82dd-d39caa528568	wikinews	Krzysztof Kononowicz prezydentem Warszawy?
e669f790-b68a-435e-b36f-e41903256866	wikinews	Ruda Śląska: napad na konwój z pieniędzmi
e646c2c9-cb8e-454b-bc03-7fd14c52b401	wikinews	Wizyta rosyjskiej floty w Japonii
e533fbda-0e11-49d3-8ad6-55cdc930877d	wikinews	Tenis, Poertschach: czwórka najlepszych
e4f17eea-ce00-4a26-85ed-18018d658f70	wikinews	Mistrzostwa świata w piłce siatkowej kobiet: „dzika karta” dla Polski
e4bae782-a474-472a-ae6e-8a717c4a7c9a	wikinews	20 lutego 2015 roku trzy stacje metra w Warszawie otrzymały pozwolenie na użytkowanie
e48d9546-173a-4067-8471-2e3ede192c87	wikinews	Irańska reakcja na skierowanie sprawy programu atomowego do Rady Bezpieczeństwa ONZ
e42ad2f0-7fa9-4a09-8a0c-cf9ee92946c3	wikinews	Animation Now! Zapowiedź trzeciej edycji festiwalu animacji w Trójmieście
d22ed1e1-4945-4c92-9d5b-3ccfb84f86dc	wp-wiadomosci	Minibus bez kierowcy będzie za darmo woził pasażerów po cmentarzu w Gdańsku
d1c927e7-d480-4262-8f8e-d58586012fc0	wikinews	Ostateczna odmowa rejestracji domeny .xxx
d1ade9f6-d91d-45e0-bcd7-bc1af3d7ddd6	space24	Lądownik, który ma zapewnić NASA powrót na Księżyc. Wybrano ofertę SpaceX
d18038df-fbfa-4be4-874e-e6b9768cab7e	wikinews	Nasz Dziennik: „Kapitulacja w Juracie”
d17f6540-c74f-4d6e-9cfb-9bd79af24425	naukawpolsce	ABM: Rusza pierwszy konkurs w ramach Warsaw Health Innovation Hub
d05bc4b0-ded9-42a3-81cc-2664c3af5cf2	other	Dramat w kopalni Bielszowice. Premier zabrał głos
d0200789-e2e1-4393-9580-4b98c71dcf15	wikinews	Izrael ostrzega: Iran wkrótce wyprodukuje bombę atomową
cfc1345b-d761-426d-92bf-ba7bec787339	wyborcza	Czwarta fala pandemii i omikron - nowy wariant COVID-19. Konferencja prasowa premiera Morawieckiego
cf9a578b-fd00-4f0e-bec9-43c6c6c97bba	wyborcza	Wystawa Expo w Dubaju otwarta. Pawilon Polski inauguruje praca Leona Tarasewicza
cecbe2f6-7e0e-4495-8c8d-8477820f13d9	wikinews	Chiny: płonął portret Mao Zedonga
ce2a9daf-3551-45e5-8e07-5c791d0dc381	space24	Pomyślny start misji załogowej Crew-2
ce0af4b2-cf80-4723-99c5-15e19431f2bc	other	Tragedia nad jeziorem. Mężczyzna spłonął w przyczepie kempingowej
cd6204f6-5871-4489-a023-c09973017df6	space24	Misja Chang'e 5 dotarła na Księżyc
ccc246db-6678-460e-a288-7ce9505cb941	wyborcza	Kraków zrezygnuje z utwardzonej ścieżki na wałach Rudawy. "Z ogłoszeniem sukcesu poczekamy na zmiany w projekcie"
cbbb75c1-6bd1-4d9f-a116-356c505b21ae	wyborcza	Papież Franciszek i inni przywódcy religijni apelują o powstrzymanie zmian klimatu
cb8f4dc0-13c5-43a4-848d-0840621a667b	wyborcza	Sondaż Kantara. Większość Polaków uważa, że sprawy w kraju zmierzają w złym kierunku
cb6866bb-2f7e-41c3-b820-1cd6f62a241f	wikinews	Przedterminowe wybory parlamentarne w Portugalii
cad4dc7b-3281-406b-9538-630b73ee12ed	space24	Ślad obecności nieznanej egzoplanety w najbliższym sąsiedztwie Układu Słonecznego
caba5b33-6d17-4c04-92f6-b2d0b7b2764c	naukawpolsce	Prof. Rejdak: wstępne wyniki wskazują na trend w kierunku skuteczności amantadyny
ca931855-96b0-4459-8412-d58993eebf10	naukawpolsce	Opracowano atlas zmian zachodzących w ludzkim mózgu
c954168c-db89-48ed-8d79-aef8564aebc6	wikinews	Eurowybory 2014: remis PO i PiS, sukces Nowej Prawicy
c8cc52ad-2f39-4881-8fc2-024dfa254cec	naukawpolsce	Zmarł prof. Zygmunt Woźniczka
c803e275-1d78-46f9-8fdf-878172aa168d	wyborcza	Stan wyjątkowo nieludzki. We wtorek w Rzeszowie protest przeciwko kryzysowi humanitarnemu na granicy z Białorusią
c6c218d8-6c4a-4f19-95fd-d82400e09933	wikinews	Nustar będzie podglądał czarne dziury
c59069eb-360e-4003-94e6-04addd2c810a	tabletowo	Nie będzie różnicy, czy kupisz Galaxy Z Flip 4, czy Galaxy Z Flip 3
c5832bdc-5586-458e-a0b2-29121b3bd543	wyborcza	Lekarze z Anina przeszczepili serce polskiego dawcy uchodźczyni z Ukrainy
c4be86ac-6489-4fc5-a00f-91de8377314a	wikinews	Trwa budowa łódzkiego aquaparku
c4a993b4-ce75-4829-9678-320210a91154	space24	Centrum Technologii Kosmicznych - nowa jednostka AGH w Krakowie
c37a0619-218e-40fb-b2f0-43b728743afe	wikinews	MŚ w kolarstwie szosowym w 2010 roku w Melbourne
c30d3d4c-0298-4f64-b07f-8604a1848dde	wyborcza	Movember. Pamiętasz o przeglądzie auta? Nie zapomnij o jądrach
c2df38da-cf3a-4ab4-90db-18440f139584	wikinews	Berlin: protest przeciwko podwyżkom czynszów i gentryfikacji
c2af670a-da64-4c56-9007-a948102896fe	wikinews	Uchwalono zmiany w ordynacji bez obecności PO, SLD i PSL
c2adfd9b-98de-43df-a325-81eeb296ccf7	wikinews	Tomaszów Lubelski: 17-latek zranił się nożem w brzuch
c259454f-02d5-4e24-8658-6c99ca5d7a4b	space24	Finał deorbitacji masywnego segmentu chińskiej rakiety
c2140d6c-d203-4b3c-a7d5-e04a4774a5e6	wikinews	New York Times: Możliwe kolejne ataki terrorystyczne około 11 września
c210af0e-09e9-4b38-b5b4-aae56aaa17e9	wyborcza	Rosjanie weszli do zakładu Azowstal. Trwają ciężkie walki, nie ma kontaktu z obrońcami
c209dcde-1592-40d7-b405-9544d93d83d3	wyborcza	Podsumowanie dnia: 8 listopada. Kryzys na granicy, Tusk wzywa do sięgnięcia po art. 4 NATO, ponad 7 tys. zakażeń koronawirusem
c1d2e30a-03aa-4664-aee4-84436f447b62	wikinews	Marek Dyduch odszedł z SLD
c1d16ac9-2dcd-4872-9219-d965eb44b65e	space24	Satelity SAR wsparciem dla podwodnej archeologii antarktycznej
c1b9a264-a7a7-44ef-bbe7-0460ed5ad90f	space24	Jeff Bezos zaprezenował księżycowy lądownik Blue Moon
bffaa3f2-592d-40b8-aa89-4ea39b5f2875	wikinews	Kurt Waldheim nie żyje
bfbf9a3b-2cad-4575-9249-037c2a1d7299	other	Bolesław Ciepiela nie żyje. Znany zagłębiowski pisarz miał 90 lat
bf1dc977-50e3-4f42-9394-f6ece96f1560	wikinews	Zamknięte sklepy w Manchesterze z powodu zamieszek
bef2aaa9-3f6c-4292-8ca8-465b9d938fa8	naukawpolsce	USA/Badanie: po 7 miesiącach skuteczność szczepionki Pfizera przeciwko COVID-19 to 66,6 proc., Moderny 80,3 proc.
be63d685-c376-4681-a1ca-ecac476fe539	wikinews	PO: nie było żadnego listu w sprawie wcześniejszych wyborów
bdbf966a-fddc-4c8e-bd8b-22cff46ca49a	wikinews	Budapeszt: Blair rozmawia o budżecie Unii Europejskiej
bbee7438-63dc-4d61-aba5-b86dfef61c0c	wikinews	Boronów: Odbyła się druga edycja Boronoff Rock Festiwal
ba141bda-63cf-4142-8053-8c625682c201	space24	Las Vegas chce budować podziemne tunele Elona Muska
ba0c1ac8-2f46-4720-9293-4d65cc6ffc81	tvpsport	ATP w Madrycie: finał turnieju debla nie dla Hurkacza
b926653f-95b8-465d-8feb-8f95bcf73bcb	wyborcza	Emeryt z Częstochowy doniósł do prokuratury na prezes SN Małgorzatę Manowską i założyciela Ordo Iuris
b8227a57-a821-4c65-8a28-5a3bf72dba08	tabletowo	Ważna bariera przekroczona. Elektryczny Mercedes przejechał ponad 1000 km
b6e64f35-95ca-4162-9b2a-b98588971a76	other	Urodziny Radia Maryja. Duda wysłał Rydzykowi osobisty upominek
b6aea804-cef9-47c2-a0ba-6dcfc612e5bb	wikinews	Zmarł Laureat Nagrody Nobla Arthur Kornberg
b6ab7424-532c-497e-9545-98379b4f6e78	wikinews	Identyfikacja właściciela telefonu za pomocą tęczówki oka
b6660fcc-4cd6-4d00-99d3-2cd902833841	wikinews	Zniszczony ogród deszczowy w Warszawie
b5f6f2f6-83c7-4c06-bf3b-ecc568ded0f4	wikinews	Kolarstwo: Rund Um Köln odwołany
b5d2f821-92f8-4863-8d69-fb4a036dff7b	wikinews	Radosław Sikorski jedzie na Białoruś
b56f1e15-90b8-4d3f-a6cf-9f0c47555a45	wikinews	Zidane i Materazzi ukarani
b50e6800-23fa-4e1f-8c11-db31a5a8b1bd	tabletowo	Toyota chwali się dużą sprzedażą hybryd w Polsce
b504ad78-bff0-4b99-88c4-f9844f4e5cf6	strefaagro	Wywłaszczenie bez tajemnic. Na czym polega, ile wynosi odszkodowanie i czy można uchronić się przed utratą nieruchomości?
b4198384-038a-43a8-8560-9fadc38e151e	wikinews	Sowińska: seks tylko dla dorosłych?
b37b9858-17ec-4621-96e7-36f9a6b79751	naukawpolsce	Badaczka z Politechniki Gdańskiej poszukuje syntetycznych alternatyw implantów kostnych
b1d0efa7-13a8-4890-bcad-2ba1e4f28e6e	wikinews	Jan Mazoch pozostanie w śpiączce jeszcze kilka dni
b16b777b-bff7-4670-b69f-cad5a0452d85	wikinews	Wybory prezydenckie: Cisza wyborcza przed drugą turą w Polsce, głosowanie w USA
b13e40ff-f501-41fb-87fd-83cbaffb17de	wikinews	Egipt: Aresztowano podejrzanych o zamach w Szarm el-Szejk
aef26926-3dac-4cbc-9b84-05db6d9c503f	wikinews	Komisja bankowa przesłuchała Ryszarda Pazurę
aee1c5a7-5805-4c7f-b815-c08c82edf2ae	naukawpolsce	Prof. Szmyt laureatem Nagrody im. Tadeusza Kotarbińskiego
aeaa74b9-7a09-48b9-8b3a-fdf1f428f733	wyborcza	Chełmno. Przy przejściu dla pieszych samochód potrącił dziewczynkę
adc678e5-62f1-4247-a7c5-8320f415cab3	space24	Stacja Tiangong-2 przestała istnieć. Zamierzona deorbitacja nad Pacyfikiem
ad9b190c-225a-4a09-a2ab-59f427c3b7d3	wikinews	Powrót pociągów na trasę Piła Główna - Wałcz
acf5899a-79ae-4a24-bfdf-f070ada11444	wikinews	Walki w rosyjskim mieście Nalczyk
ac9bbac9-7f79-490e-9276-c05527502650	wikinews	SLD o Kwaśniewskim: Ta prezydentura przejdzie do historii jako dobry czas
abbecd1a-fee4-4aa1-bf26-6f7b3e9a65ee	wyborcza	Korki na bramkach autostrady A1 i Półwyspie Helskim
aba28b16-0a75-42a7-bf24-131105059d3d	wikinews	Adam Małysz wygrał sobotni konkurs skoków w Titisee-Neustadt
aac09905-0924-4535-9b22-db39a53eb2f2	wikinews	Liga Europy UEFA 2010/2011: Lech Poznań 0-0 Dnipro Dniepropietrowsk
aa6589e0-05e0-4250-9d2b-8210d64c0af2	wikinews	Lech Kaczyński i PO zwycięzcami majowych sondaży przedwyborczych
a9f1754a-a35f-494c-8b7a-782ec7c67fd0	space24	USA: Powołano Space Development Agency
a9ad0357-335e-464b-978a-27d89793b092	wikinews	Protesty antyprezydenckie w Jemenie
a97c5698-c774-463e-abce-a8d48caa4007	space24	Sonda Solar Orbiter skorzystała z asysty grawitacyjnej Wenus
a8e71487-afc8-476f-8c93-6dce38795c6a	wikinews	Historyczny triumf Adama Małysza w Holmenkollen
a79b1429-3837-4d20-b18f-279a7b8de9db	wikinews	Iran: Wyraźny spadek zakażeń SARS-CoV-2. Rząd ostrzega przed nową falą infekcji
a7660286-3908-44a6-8bc3-c83f4b429051	other	Dramat w woj. warmińsko-mazurskim. Ambulans czołowo zderzył się z osobówką
a20fb298-f21e-4fd0-a584-abc1665b4567	wikinews	Lewis Hamilton zwycięzcą Grand Prix Bahrajnu
a16529ec-f715-4e5d-8687-f15b3dab9091	wyborcza	Nie żyje pierwszy wicewojewoda Małopolski. Józef Leśniak miał 54 lata
a15da0a0-414b-4f58-b915-77a3501689d8	wikinews	Zderzenie pociągów w Pakistanie spowodowało śmierć setek ludzi
a13c8fe4-113e-41f0-8d58-447c1421c016	wpwiadomosci	Nieznane oblicze wojny. Rosjanie okradają swoich rannych i zabitych
a0da0516-81a4-43c1-9c1c-6b7988957a29	space24	Nazwy gór lodowych w hołdzie zasłużonym satelitom obserwacyjnym
a0b10d48-952d-42e8-95f0-6dca8473d4ee	tabletowo	CD Projekt RED zmaga się z rosyjską falą negatywnych recenzji gier
a09c9cd1-c924-4686-a80a-b08fd79fa921	wikinews	Afganistan: Polscy żołnierze oskarżeni o zabójstwo sześciu cywilów
a04addbe-62c4-44be-8447-6b6624970f6f	tabletowo	Android traci udziały na globalnym rynku. Zyskuje natomiast iOS
9ffe66ee-117e-436b-b853-55c9e7c33552	wikinews	Czarnogórski parlament proklamował niepodległość
9f612956-5084-4273-924c-b2a7e73e884a	wikinews	LiS zbiera „haki” na PO
9e446db3-2842-4f64-95c9-9bd3c9480068	wikinews	Wyniki wyborów parlamentarnych w lubuskim
9e410349-7897-4823-9011-3385800681b3	wikinews	ESRB: dwukrotnie mniejszy odsetek gier dla dorosłych
9de13b68-85a7-4001-805a-fb7e8fec6e72	wyborcza	Wypadek pod Poznaniem po policyjnym pościgu. Spalone auto, nieznana liczba ofiar
9d494d5a-6e05-4203-bde6-cfbfbf4a2ac4	wikinews	„Dżentelmeńska umowa” pomiędzy prezydentem i Tuskiem: wybory 21 października
9d40e2d6-733b-449b-90ef-9868d9e4cf5e	wikinews	Wrocław: Zarejestruj wypchane zwierzątko!
9c6bc35a-c77d-4af1-926e-1073eac31873	tabletowo	Kia potwierdza nowy, elektryczny model w gamie na przyszły rok
9c48c1f3-5a77-4f7e-aa5d-7a4133554aee	niebezpiecznik	Dziura w systemie e-TOLL: można było pobrać dane użytkowników
9c068615-94b3-46fd-bdd6-251105ce8b8f	wikinews	Sea Launch zdobył czwarty kontrakt
9befaf9e-c6f3-4207-b3d5-7dc8d03472ef	wikinews	Obchody 82. rocznicy wybuchu drugiej wojny światowej – złożenie kwiatów pod Pomnikiem Obrońców Wybrzeża
9bc31d94-8bbb-475e-ad78-76768692084a	tabletowo	W tym roku zostanie wycofany ostatni iPhone z ekranem LCD i notchem
9b976eb4-e2fe-4ecc-b59d-6f128304b0d5	wikinews	Lekarze z WUM-u przeprowadzili pierwszy w Polsce zabieg udrożnienia żył kończyny górnej z użyciem systemu AngioJet u pacjenta pediatrycznego
9a8a6319-4f85-40d9-ae71-b75913996c22	wikinews	Małopolski Wyścig Górski 2006: Marcin Sapa wygrał 1 etap
981d40c3-c4f6-4efd-b58a-1a7a1472d8ec	wikinews	44. Małopolski Wyścig Górski: Kiendyś wygrał kryterium uliczne w Krakowie
972120cf-118b-49ed-a561-cccb269865b8	wikinews	Berlin: wystąpi Narodowy Stary Teatr z Krakowa
969d243f-54f6-4b31-8230-5ed0cfe64087	wikinews	Tadeusz Sznuk odchodzi na emeryturę
96223ad2-efce-462f-bf00-34c282cc4095	wyborcza	Pat w szpitalu psychiatrycznym w Kielcach. Większość lekarzy złożyła wypowiedzenia
9585741a-c3fd-4299-87d9-6d207e881ef9	wyborcza	Iga Świątek znów przegrała z Uns Dżabir. Nieudany powrót Polki po igrzyskach w Tokio
9564f3be-ecb8-449c-948a-8ee6fa9ab795	wikinews	Szwajcarzy decydują czy otworzą swoje granice dla 10 nowych członków UE
93d685cc-1649-454e-94ca-fc7588ddaada	space24	Udane testy systemów ratunkowych statku Orion
93b375c8-6651-42a8-b257-c4aa8de06ffa	space24	Pentagon sprawdzi certyfikację rakiet SpaceX dla realizacji misji wojskowych
92b7db8a-071a-4d30-856a-1edfde6eef88	other	Doniesienia z Syberii. Mrożą krew w żyłach
91a876e1-c563-48af-8afc-5e2989a17b98	other	Wyrzucono ją z samochodu pod szpitalem. 26-latka nie żyje
90966e93-a28f-430d-b14a-10e3ee2de561	wikinews	Polskie Towarzystwo Informatyczne włączy się w poprawianie Wikipedii
90765982-b17b-47c0-9689-a1a8c13ef8e1	wikinews	Puchar Polski: Stal Stalowa Wola - PGE GKS Bełchatów 1:0
8dc7fdad-0427-4429-b5ef-6829ab81b43d	wikinews	118. rocznica śmierci pisarza i dramaturga Ignacego Maciejowskiego
8d4709dd-25f9-467c-9dbb-37ee52d60f12	wikinews	Awaria Spotify i Discorda
8b55320a-e481-434b-9211-44a28ff833e1	space24	Polacy dalej udoskonalają kosmiczny metr z Sèvres
8b05525f-9409-4033-9da5-61d31a2e52fd	wikinews	Niemcy: Strajk ostrzegawczy kolejarzy
8ad2a9a6-ff16-47e3-a373-a0377cffb61f	wikinews	Odwołano prolog Internationale Österreich-Rundfahrt
8acd9237-5315-4c32-a8dd-6de3453ed501	wyborcza	Tokio 2020. Wyścig życia polskich kajakarek, Karolina Naja i Anna Puławska mają srebro!
8a6f40f2-9c47-4535-8e34-73efe951fbff	tabletowo	Aktualizacja zza grobu. LG Velvet dostaje Androida 12
89e0eb31-2b23-4743-b555-ad2381c015c1	other	Policja użyła gazu pieprzowego. Wszystko przez brak maseczki
89704578-f38f-4ac1-b3c7-c43b1f83a720	wikinews	Białoruś: 892 nowe ogniska koronawirusa
896d15d1-d153-4001-a3b2-30afcd933d4c	other	Tragiczna śmierć diakona z Radomia. Miał 31 lat
88c386d9-ded3-42fa-a27e-40b00844ca01	naukawpolsce	Politechnika Warszawska przechodzi na zdalne nauczanie
88750a68-44cf-4fe1-95a5-5dd844e97a03	tabletowo	Tablet od „pogromców flagowców” w produkcji. Wyciekła specyfikacja
88592d96-31f2-4ee7-ac82-17b88975210b	wikinews	Boni do twórców: kreatywność i kultura w nowym świecie
87d7e83f-91ee-4568-bdef-595182e244fe	tabletowo	Dobre wieści! 3D Touch może powrócić do iPhone’ów
8787ed9d-ff79-40d4-a9e4-8b2aa5b9961c	wikinews	Barracuda Networks: coraz więcej spamu
876ee745-0d13-4246-a14f-d332191acc9d	tvpsport	Alessandro Chiappini: marzę o zostaniu selekcjonerem polskiej reprezentacji
87110fd0-d6c7-47fb-adec-149db209cb4c	wyborcza	Koronawirus we wtorek 19 października: oficjalnie prawie 4 tys. nowych zakażeń i 64 zgony
87036528-b2e0-40aa-8ddb-2699eb81a066	wikinews	Becikowe - karta przetargowa LPR
86c4ae80-c094-4a4f-a642-a7b9112c669c	naukawpolsce	Analiza: najwięcej prac naukowych o SI z Chin, USA i Indii
864ba904-e879-425e-a4d5-a650f99315a1	wpwiadomosci	Mateusz Morawiecki: wystąpiliśmy do Komisji Europejskiej o środki dla uchodźców
85111cbd-caef-4f17-a412-ed2d5aa1cd78	wikinews	Białoruś: Zaostrzono walkę z nielegalnymi taksówkarzami
84d452a9-fcb8-48da-b3d2-c286dac94ac9	tvpsport	Szkoci wybrali piłkarza sezonu
8487a3a0-1f35-4a9c-872a-df388381ec56	wyborcza	Zmarła Karolina Kaczorowska, żona ostatniego Prezydenta Rzeczypospolitej na Uchodźstwie
83fb5491-9364-4d21-839e-b8f96c2638d9	niebezpiecznik	Policjanci odtwarzają muzykę, aby zablokować streamowanie ich interwencji w internecie
83312566-fa39-49a8-bd86-dcf41ed0668c	wikinews	Polsat 24 będzie nowym kanałem informacyjnym
8323c33d-f24a-46de-ab88-67f3fac22748	wyborcza	Andrzej Zaorski nie żyje. Miał 79 lat
826d805a-ff19-4523-893d-b2c046edcc7f	wyborcza	Klan Casamonica skazany - zapadł wyrok w jednym z największych procesów mafii w Rzymie
82276781-cd8d-40ad-a949-83405c2253cc	pudelek	Oscary 2021 - wyniki: Frances McDormand i Anthony Hopkins najlepszymi aktorami, "Nomadland" najlepszym filmem
8210e6c3-9e5b-4ba4-8d43-23527cd36e0d	wikinews	Po 13-dniowej misji Discovery wylądował
8155ec2c-0fdb-44f8-aef2-f7923da8bfe6	space24	Portal dostępowy do danych satelitarnych Sat4Envi będzie uruchomiony w przyszłym roku
80c6869b-7625-4a57-bca2-733bdca72c79	wikinews	Od 16 kwietnia obowiązek zakrywania nosa i ust w przestrzeni publicznej
